"pub_id","doi","pub_year","replicated_study","replication_source","journal_title","replicated_binary","subfield","experiment","school_prestige_1st","school_prestige_senior","media_attention"
1039386342,"10.1037/h0037031",1974,"3","Curate Science (New)","Journal of Personality and Social Psychology","no","social","yes",NA,NA,8
1042352666,"10.1111/j.1467-9280.2008.02045.x",2008,"2","Curate Science (New)","Psychological Science","no","social","yes",2,1,13
1035008453,"10.1080/1357650x.2014.912657",2014,"1","Curate Science (New)","Laterality Asymmetries of Body Brain and Cognition","no","cognitive","yes",6,NA,0
1045384307,"10.1038/nn1504",2005,"0","Curate Science (New)","Nature Neuroscience","no","cognitive","yes",1,1,2
1018068391,"10.1037/h0023552",1966,"1","Curate Science (New)","Journal of Personality and Social Psychology","no","social","yes",NA,NA,7
1040116268,"10.1177/0956797611398497",2011,"0","Curate Science (New)","Psychological Science","no","social","yes",6,6,7
1018457331,"10.1177/0956797611408736",2011,"0","Curate Science (New)","Psychological Science","no","cognitive","yes",3,2,0
1062459311,"10.1126/science.1169144",2009,"1","Curate Science (New)","Science","no","cognitive","yes",1,1,20
1051839396,"10.1037/0022-3514.73.1.5",1997,"2","Curate Science (New)","Journal of Personality and Social Psychology","no","social","yes",3,2,2
1012493536,"10.1177/1948550612447114",2013,"0","Curate Science (New)","Social Psychological and Personality Science","no","social","yes",6,6,2
1052039544,"10.1177/0956797612466416",2013,"1, 2","Curate Science (New)","Psychological Science","no","social","no",6,2,6
1005669328,"10.1037/0022-3514.95.1.18",2008,"1","Curate Science (New)","Journal of Personality and Social Psychology","no","social","yes",2,2,5
1067636823,"10.1521/soco.2013.31.3.374",2013,"1, 2","Curate Science (New)","Social Cognition","yes","social","yes",NA,NA,0
1018995395,"10.1509/jmkr.48.spl.s91",2011,"1, 2","Curate Science (New)","Journal of Marketing Research","no","organizational","yes",1,1,3
1031583493,"10.1016/j.neuroimage.2011.05.035",2011,"0","Curate Science (New)","NeuroImage","no","cognitive","no",NA,NA,0
1074209484,"10.1177/0956797616677313",2017,"1","Curate Science (New)","Psychological Science","yes","cognitive","yes",NA,NA,7
1014582297,"10.1162/089892998563121",1998,"2","Curate Science (New)","Journal of Cognitive Neuroscience","yes","cognitive","yes",NA,3,0
1051480874,"10.1016/j.jesp.2012.03.003",2012,"1","Curate Science (New)","Journal of Experimental Social Psychology","no","social","yes",1,1,0
1001532928,"10.1037/a0020092",2010,"2","Curate Science (New)","Journal of Personality and Social Psychology","no","personality","yes",1,1,33
1011645551,"10.1073/pnas.0805664105",2008,"0","Curate Science (New)","Proceedings of the National Academy of Sciences of the United States of America","yes","social","no",1,1,56
1048073778,"10.1177/0146167210386238",2010,"1","Curate Science (New)","Personality and Social Psychology Bulletin","no","social","yes",1,2,3
1062457709,"10.1126/science.1157627",2008,"0","Curate Science (New)","Science","no","social","no",6,6,20
1003842923,"10.1177/0956797612443835",2012,"2","Curate Science (New)","Psychological Science","no","social","yes",1,5,2
