doi,ref_spread,nearest_cited_prior
10.1037/xge0000064,0.7114273,0.41955423
10.1037/xge0000157,0.77051556,0.39846706
10.1037/xge0000466,0.7437815,0.47146022
10.1037/xge0000738,0.7256185,0.36022186
10.1038/oby.2005.12,0.6155731,0.4286145
10.1038/s41598-017-10669-4,0.68860996,0.3128773
10.1038/s41598-018-31129-7,0.7312676,0.23097634
10.1038/s41598-022-24919-7,0.6899153,0.22840804
10.1057/s41599-019-0279-9,0.7843354,0.264098
10.1073/pnas.0908963106,0.72138864,0.45903015
10.1073/pnas.1103343108,0.7350065,0.39343143
10.1073/pnas.1118373109,0.7207017,0.37687218
10.1073/pnas.1216438110,0.6847349,0.31247765
10.1073/pnas.1501592112,0.71056044,0.3616445
10.1073/pnas.1505067112,0.6946745,0.28316623
10.1073/pnas.1508932113,0.76334846,0.3145066
10.1073/pnas.1511536112,0.7378255,0.4453073
10.1073/pnas.1516047113,0.6947412,0.23849356
10.1073/pnas.1516868113,0.7138392,0.41359448
10.1073/pnas.1519401113,0.67611223,0.3725418
10.1073/pnas.1523586113,0.6961966,0.29849124
10.1073/pnas.1523698113,0.76615846,0.4118924
10.1073/pnas.1601280113,0.6597122,0.4241482
10.1073/pnas.1606574113,0.73687625,0.38555914
10.1073/pnas.1607330114,0.7634517,0.3399189
10.1073/pnas.1610834113,0.7868505,0.40509355
10.1073/pnas.1616921114,0.70195377,0.35226822
10.1073/pnas.1620542114,0.76471037,0.32842016
10.1073/pnas.1701916114,0.686391,0.27022558
10.1073/pnas.1704032114,0.6913996,0.3389933
10.1073/pnas.1705238114,0.6970385,0.33426952
10.1073/pnas.1706253114,0.656151,0.27815926
10.1073/pnas.1706913114,0.7272725,0.3056239
10.1073/pnas.1707040114,0.64403903,0.39225054
10.1073/pnas.1707719114,0.7533485,0.4293356
10.1073/pnas.1717092115,0.7497093,0.24428272
10.1073/pnas.1722664115,0.7432595,0.39231628
10.1073/pnas.1805284115,0.77998817,0.38615406
10.1073/pnas.1805327115,0.7587543,0.49136662
10.1073/pnas.1908369116,0.7554497,0.24341321
10.1073/pnas.2120668119,0.7281398,0.162121
10.1073/pnas.2218961120,0.7530154,0.2833923
10.1075/arcl.7.07gri,0.5970734,0.343953
10.1075/jslp.22013.tel,0.7198491,0.38504755
10.1075/resla.17019.loz,0.55245954,0.24238265
10.1080/00224545.2016.1270892,0.69636405,0.37654746
10.1080/02699931.2015.1059317,0.48682222,0.22345209
10.1080/02699931.2016.1273201,0.74185854,0.27044117
10.1080/02699931.2017.1394817,0.6117761,0.31393993
10.1080/026999398379411,0.552681,0.2390275
10.1080/09515080307771,0.61878306,0.2877735
10.1080/0951508042000202354,0.640192,0.3153633
10.1080/09515080500177309,0.6664097,0.37405372
10.1080/09515080500264180,0.70005506,0.2463842
10.1080/09515080801978777,0.69545543,0.36772752
10.1080/09515080902802769,0.5892719,0.28575265
10.1080/09515080903532290,0.7273545,0.46305895
10.1080/09515089.2014.894431,0.68349004,0.30952358
10.1080/10503307.2012.731088,0.6391772,0.18968081
10.1080/10584609.1994.9963030,0.6952526,0.29098105
10.1080/135062899395000,0.6008205,0.4112376
10.1080/13869790600641905,0.6930519,0.32182813
10.1080/23273798.2020.1810292,0.6147937,0.2832476
10.1086/268936,0.73698735,0.6223393
10.1086/269239,0.6374329,0.5272595
10.1086/597030,0.76768345,0.3434065
10.1086/597176,0.68708974,0.3643521
10.1086/597428,0.70433223,0.39506978
10.1086/598971,0.77580667,0.23102486
10.1086/648381,0.6156416,0.26990128
10.1086/658469,0.7203441,0.45624495
10.1086/661531,0.72419244,0.37539166
10.1086/669476,0.7764328,0.3999833
10.1086/670020,0.74627477,0.32963586
10.1086/679118,0.7646946,0.3898108
10.1086/691462,0.7201949,0.3452332
10.1086/698750,0.7431038,0.31820107
10.1089/cyber.2015.0311,0.7483847,0.37423897
10.1089/cyber.2016.0530,0.7003731,0.48909938
10.1093/aesthj/ayu027,0.6883461,0.17719805
10.1093/analys/63.3.190,0.4539898,0.35513222
10.1093/esr/jcs057,0.6728797,0.30737633
10.1093/esr/jcw008,0.6381978,0.34986258
10.1093/esr/jcx078,0.72148997,0.3579241
10.1093/geronb/gbx099,0.6759119,0.3044471
10.1093/her/cyl160,0.6587984,0.2614541
10.1093/jcr/ucaa006,0.6925957,0.3696097
10.1093/jcr/ucaa019,0.70307225,0.36729318
10.1093/jcr/ucv007,0.75695455,0.37379122
10.1093/jcr/ucv023,0.7613476,0.34157038
10.1093/jcr/ucv049,0.7251768,0.28499925
10.1093/jcr/ucv051,0.760254,0.27287066
10.1093/jcr/ucw008,0.7538004,0.3535987
10.1093/jcr/ucw056,0.797104,0.33769512
10.1093/jcr/ucx039,0.68225175,0.31158566
10.1093/jcr/ucx067,0.7143019,0.41022497
10.1093/jcr/ucx109,0.73038274,0.23205936
10.1093/jcr/ucy082,0.7357274,0.38408935
10.1093/jcr/ucz022,0.67851245,0.3493849
10.1093/jcr/ucz028,0.735437,0.29159063
10.1093/jos/ffr009,0.7107704,0.3220719
10.1093/poq/nfx042,0.5423898,0.39931148
10.1093/qje/qjr034,0.70746267,0.36488742
10.1093/qje/qjt035,0.74905723,0.39566255
10.1093/rfs/hhp008,0.67069143,0.36597157
10.1093/scan/nsw175,0.7437263,0.3373127
10.1093/sf/sou074,0.7618221,0.30864847
10.1093/workar/waac024,0.65463126,0.36240816
10.1097/00004703-200604002-00013,0.59043205,0.30439603
10.1097/00006842-200103000-00012,0.7909986,0.4663329
10.1098/rspb.2011.1959,0.72382575,0.281842
10.1098/rspb.2022.0128,0.71480083,0.43392074
10.1109/tse.2016.2527791,0.69411147,0.31491005
